Age,Gender,OwnHome,Married,Location,Salary,Children,History,Catalogs,Cust_Id,Is_Good
Middle,Male,Own,Married,Close,100000,1,High,24,1190,1
Middle,Female,Rent,Married,Far,43300,3,Medium,24,935,0
Middle,Male,Own,Married,Close,65800,1,,12,292,0
Middle,Female,Own,Married,Close,49700,2,Low,18,17,0
Middle,Female,Rent,Married,Close,82300,2,Medium,12,1035,0
Middle,Male,Rent,Single,Close,41200,0,Medium,12,443,0
Young,Male,Rent,Single,Close,29200,0,Low,18,621,0
Middle,Female,Own,Single,Close,51900,2,,12,1063,0
Middle,Female,Own,Married,Close,85500,2,Medium,18,605,0
Young,Female,Rent,Single,Far,12400,3,Low,18,463,0
Middle,Female,Own,Married,Close,111900,1,,12,872,1
Middle,Female,Rent,Single,Close,40400,1,Low,24,243,0
Young,Male,Rent,Single,Far,10900,0,Low,24,98,0
Middle,Male,Own,Married,Close,82400,3,,18,758,1
Young,Female,Rent,Single,Close,13200,1,Low,12,882,0
Middle,Male,Rent,Single,Close,57800,0,Medium,24,907,0
Old,Female,Own,Married,Close,52200,1,Medium,12,39,0
Middle,Male,Rent,Married,Far,64600,2,,24,1288,1
Middle,Female,Own,Single,Close,43100,0,,24,443,1
Old,Female,Own,Married,Far,40100,0,Medium,12,561,1
Old,Male,Own,Married,Close,84500,0,,12,1108,1
Old,Male,Rent,Married,Close,34500,0,Medium,12,886,0
Young,Female,Rent,Married,Close,61000,1,,18,1220,1
Old,Female,Own,Married,Far,79300,0,,12,759,1
Middle,Male,Rent,Single,Close,44500,0,Medium,24,700,0
Young,Male,Rent,Married,Close,39700,0,Medium,18,426,0
Old,Female,Own,Single,Close,30300,0,Low,18,254,0
Young,Female,Rent,Single,Close,20100,1,Low,12,1095,0
Old,Male,Own,Married,Far,86500,0,High,24,809,1
Old,Female,Rent,Single,Close,42500,0,Medium,24,1139,0
Middle,Male,Own,Married,Close,102300,0,High,24,603,1
Middle,Female,Own,Single,Far,52600,2,Medium,12,1114,1
Middle,Female,Rent,Single,Far,37800,2,,12,202,0
Young,Female,Rent,Single,Close,20300,2,Low,12,718,0
Middle,Male,Own,Married,Close,71600,1,,12,1211,0
Young,Male,Rent,Married,Close,54500,1,Medium,18,428,0
Middle,Male,Rent,Single,Close,54700,0,Medium,24,153,1
Middle,Male,Rent,Single,Far,58600,2,,6,794,0
Middle,Male,Rent,Single,Far,53800,0,High,12,952,1
Middle,Female,Own,Married,Close,131500,3,,6,653,1
Middle,Male,Rent,Single,Far,52200,0,High,24,953,1
Young,Male,Rent,Married,Close,37200,1,Low,6,991,0
Young,Male,Rent,Single,Far,22900,1,,12,640,0
Young,Male,Rent,Married,Close,55500,3,Low,12,702,0
Young,Female,Rent,Single,Far,12800,1,,24,888,0
Young,Female,Rent,Single,Close,17600,2,Low,18,177,0
Old,Female,Own,Single,Far,28300,0,Medium,24,325,0
Old,Male,Own,Single,Close,41900,0,Medium,6,180,0
Young,Female,Rent,Single,Close,14100,3,,6,96,0
Middle,Male,Rent,Single,Close,52100,0,,12,225,1
Middle,Male,Rent,Single,Far,38700,1,Medium,18,948,0
Middle,Female,Rent,Single,Far,44100,1,Medium,18,115,1
Middle,Male,Own,Married,Far,79200,1,High,6,108,1
Young,Female,Rent,Single,Close,22600,3,,6,1224,0
Middle,Male,Rent,Single,Close,55100,2,,6,457,0
Old,Female,Own,Married,Far,70400,0,High,18,1241,1
Middle,Male,Own,Married,Close,107300,2,Medium,24,131,0
Middle,Female,Rent,Married,Close,66500,1,,24,464,0
Young,Male,Rent,Single,Close,10200,0,,24,808,0
Young,Female,Own,Single,Far,41000,1,Medium,12,49,0
Middle,Female,Rent,Single,Close,26200,1,Low,12,105,0
Middle,Male,Rent,Married,Far,72200,3,Medium,18,1016,1
Middle,Male,Rent,Single,Far,36700,1,Medium,24,286,1
Old,Male,Own,Married,Far,74500,0,,18,684,1
Middle,Female,Own,Single,Close,60200,1,,12,351,1
Old,Male,Rent,Single,Close,34500,0,Medium,24,971,0
Old,Female,Own,Married,Close,83700,0,High,18,1179,1
Young,Male,Rent,Single,Far,14800,1,,12,722,0
Middle,Male,Own,Married,Close,106400,0,,12,815,1
Young,Female,Rent,Married,Close,42000,3,Low,6,1268,0
Middle,Male,Rent,Married,Close,118800,0,High,12,933,1
Young,Female,Own,Single,Far,21900,2,Low,24,313,0
Middle,Male,Rent,Single,Close,39500,1,,6,1186,0
Middle,Male,Rent,Single,Close,45900,0,Medium,12,293,0
Young,Female,Rent,Married,Close,37100,2,Low,24,1087,0
Middle,Female,Rent,Single,Close,28200,1,Low,6,1152,0
Middle,Male,Rent,Married,Close,74600,2,Medium,18,1108,0
Middle,Male,Own,Married,Close,122700,1,,18,699,1
Young,Female,Rent,Single,Close,14200,2,Low,18,833,0
Middle,Male,Own,Married,Far,75500,0,,18,443,1
Middle,Male,Own,Single,Close,62900,0,,24,698,1
Young,Male,Rent,Single,Far,19400,0,Low,6,571,0
Middle,Female,Rent,Single,Close,46600,0,,12,193,0
Middle,Male,Own,Married,Far,79700,1,High,24,834,1
Middle,Male,Own,Single,Close,45900,2,Low,12,36,0
Old,Female,Own,Married,Close,42800,0,Medium,6,383,0
Old,Male,Own,Married,Far,65500,0,High,24,1280,1
Old,Female,Rent,Single,Close,33600,0,Medium,12,663,0
Middle,Female,Own,Single,Far,55600,1,High,18,959,1
Young,Female,Rent,Single,Close,24000,2,,6,760,0
Young,Male,Rent,Single,Far,25700,0,Medium,18,682,0
Old,Female,Own,Married,Close,21500,0,Low,18,955,0
Old,Female,Rent,Married,Close,68600,0,High,18,710,1
Young,Female,Rent,Single,Far,23100,2,Low,12,635,0
Middle,Female,Rent,Married,Close,53300,0,Medium,24,272,1
Old,Female,Own,Married,Close,112800,0,High,12,633,1
Old,Male,Own,Married,Close,124900,0,High,18,107,1
Middle,Female,Own,Single,Close,72200,0,,18,339,1
Middle,Male,Rent,Single,Close,35100,1,Low,6,501,0
Old,Female,Rent,Single,Close,14900,0,,12,787,0
Middle,Male,Rent,Single,Close,72000,0,High,12,96,1
Middle,Male,Own,Married,Close,82400,0,High,18,63,1
Young,Male,Rent,Married,Close,41600,3,,24,1078,1
Middle,Female,Own,Married,Close,68500,2,,12,1269,1
Young,Male,Own,Married,Close,62200,0,High,24,560,1
Old,Female,Own,Single,Close,35900,0,,12,232,0
Young,Male,Rent,Single,Close,14100,0,Low,12,868,0
Young,Female,Rent,Married,Close,36500,1,,18,1275,0
Middle,Female,Own,Married,Close,86400,1,High,12,209,1
Old,Female,Rent,Married,Close,39500,0,Medium,12,945,0
Old,Male,Own,Married,Close,85300,0,,12,540,1
Old,Female,Own,Married,Close,110700,0,High,12,625,1
Young,Male,Rent,Single,Far,17700,0,Low,18,1195,0
Young,Female,Rent,Married,Far,33200,1,,24,1090,1
Middle,Female,Own,Single,Close,53800,0,Medium,12,1035,0
Old,Male,Rent,Single,Close,44400,0,Medium,18,1211,0
Middle,Female,Rent,Married,Close,135700,1,High,24,770,1
Young,Female,Rent,Single,Far,20700,1,Low,12,117,0
Middle,Male,Rent,Married,Far,83500,2,High,24,382,1
Middle,Female,Rent,Married,Close,84200,2,Medium,24,776,0
Middle,Female,Rent,Married,Close,79900,1,Medium,12,997,0
Old,Female,Rent,Single,Far,19700,0,Low,6,343,0
Middle,Female,Rent,Single,Close,35300,0,,18,114,1
Old,Male,Own,Married,Far,52000,0,High,18,1146,1
Young,Male,Rent,Single,Close,21300,1,,12,129,0
Middle,Male,Own,Single,Close,63700,0,,6,785,1
Old,Female,Own,Married,Close,25900,0,Low,18,318,0
Middle,Male,Rent,Married,Close,65800,2,Medium,18,1181,0
Old,Female,Rent,Single,Close,11000,0,,24,73,0
Old,Female,Rent,Married,Close,65900,0,High,12,26,0
Middle,Female,Own,Married,Close,108100,1,High,12,51,0
Middle,Male,Own,Married,Close,107300,2,Medium,18,279,1
Middle,Female,Rent,Married,Close,79500,0,High,12,1243,1
Middle,Female,Rent,Married,Close,95900,0,,24,88,1
Middle,Male,Rent,Single,Close,45200,1,Medium,18,711,0
Middle,Male,Own,Married,Close,98500,0,High,18,319,1
Old,Female,Own,Married,Close,96200,0,High,12,949,1
Young,Male,Rent,Single,Close,17900,0,,18,1108,0
Middle,Male,Own,Married,Close,42700,0,Medium,6,634,0
Middle,Male,Own,Single,Far,49700,0,High,24,764,1
Middle,Female,Rent,Single,Close,43000,3,Low,24,591,0
Young,Female,Rent,Single,Close,15500,1,Low,6,592,0
Young,Male,Rent,Single,Close,13000,3,Low,6,982,0
Middle,Female,Rent,Single,Close,27200,3,Low,24,1200,0
Old,Female,Own,Married,Close,26700,0,Low,24,477,0
Old,Male,Own,Single,Far,61000,0,High,6,1244,0
Middle,Female,Own,Married,Close,76600,3,,24,1144,1
Middle,Male,Own,Married,Close,117500,2,Medium,12,163,0
Old,Male,Own,Married,Close,90600,0,High,24,1281,1
Young,Female,Rent,Single,Far,12600,0,Low,6,105,0
Old,Female,Own,Single,Close,12700,2,Low,6,333,0
Middle,Female,Own,Married,Far,77600,3,Medium,12,947,0
Middle,Female,Rent,Married,Far,92400,1,,6,964,1
Old,Female,Rent,Married,Close,71800,0,High,24,665,1
Middle,Male,Own,Married,Far,95800,3,,12,1294,1
Young,Female,Own,Single,Close,32600,3,Low,12,259,0
Middle,Male,Own,Married,Close,74500,2,Medium,12,583,0
Old,Female,Rent,Single,Close,29200,0,Low,12,1165,0
Young,Female,Rent,Single,Far,12900,1,Low,6,689,0
Middle,Male,Rent,Married,Close,117700,1,High,12,676,1
Middle,Female,Own,Married,Close,64100,1,Medium,18,1017,1
Middle,Female,Rent,Single,Close,46500,1,Medium,24,772,0
Young,Female,Rent,Single,Close,12400,1,,12,962,0
Middle,Male,Own,Married,Far,130600,0,High,18,216,1
Middle,Male,Own,Married,Far,74400,0,High,6,656,1
Old,Female,Own,Single,Far,40600,2,Medium,6,767,0
Young,Female,Rent,Married,Close,54200,1,Medium,6,211,0
Middle,Male,Own,Single,Far,65400,1,High,12,22,1
Middle,Male,Rent,Single,Close,49100,0,,6,33,0
Young,Female,Rent,Single,Close,10600,2,,24,293,0
Young,Female,Rent,Married,Close,76400,0,,12,537,1
Middle,Female,Rent,Married,Close,93700,1,High,24,585,1
Middle,Male,Rent,Single,Far,49000,0,High,18,992,1
Middle,Female,Own,Married,Close,96500,1,High,18,1217,1
Middle,Male,Own,Single,Close,55600,0,,12,22,0
Middle,Male,Own,Married,Close,99600,1,High,6,1168,0
Middle,Female,Own,Married,Close,79900,3,Low,12,1224,0
Old,Female,Rent,Married,Close,50500,0,Medium,12,1277,0
Old,Female,Own,Single,Far,16300,0,Low,6,900,0
Old,Female,Own,Married,Close,49200,0,Medium,12,291,0
Middle,Male,Own,Single,Far,48100,2,Medium,18,689,0
Middle,Male,Own,Single,Far,61300,2,High,24,558,1
Middle,Female,Own,Married,Close,72600,1,,18,530,1
Young,Male,Rent,Single,Far,19500,0,,24,1150,0
Young,Female,Rent,Single,Close,17200,1,,12,490,0
Middle,Male,Rent,Single,Far,51100,0,High,24,980,1
Middle,Male,Own,Single,Close,76800,1,Medium,18,679,0
Middle,Male,Own,Single,Far,60200,0,High,12,601,1
Middle,Male,Rent,Single,Close,59100,2,Low,18,536,0
Old,Female,Own,Single,Close,32500,0,Medium,24,960,0
Middle,Female,Rent,Single,Far,49500,2,Medium,12,1168,0
Middle,Male,Own,Married,Close,109600,1,High,12,894,1
Young,Female,Rent,Married,Close,47300,0,,6,45,0
Middle,Male,Rent,Married,Close,93000,1,High,24,166,1
Young,Female,Own,Single,Far,32000,1,,24,251,1
Young,Female,Own,Single,Close,44700,1,Medium,6,1218,0
Old,Female,Own,Married,Close,69400,0,High,18,1075,1
Middle,Male,Own,Married,Close,64300,2,Medium,6,683,0
Middle,Male,Own,Single,Far,75400,0,High,24,289,1
Middle,Male,Own,Married,Close,96100,0,High,6,744,1
Old,Female,Own,Married,Close,118000,3,Low,12,1197,0
Young,Male,Rent,Married,Close,69700,1,Medium,12,834,1
Old,Male,Own,Single,Close,59300,0,Medium,12,244,0
Middle,Female,Rent,Married,Close,88600,3,Low,6,44,0
Middle,Male,Own,Married,Close,102600,0,High,18,789,1
Middle,Male,Rent,Single,Close,43700,0,,18,1209,1
Old,Female,Own,Married,Close,22400,0,,24,611,0
Middle,Male,Rent,Married,Far,70500,1,,24,588,1
Middle,Male,Own,Married,Close,54200,1,Medium,6,902,0
Middle,Female,Own,Single,Far,25300,1,,6,329,0
Old,Male,Own,Married,Close,116100,1,High,24,610,1
Young,Female,Rent,Single,Close,15900,0,,18,230,0
Middle,Female,Own,Single,Close,46600,3,Low,6,397,0
Young,Male,Own,Single,Close,23200,0,,24,299,0
Young,Male,Rent,Single,Close,18200,0,Low,12,708,0
Middle,Female,Own,Married,Close,82700,1,High,18,822,1
Young,Female,Rent,Single,Close,17000,0,Low,18,128,0
Middle,Male,Own,Married,Close,83000,2,Medium,6,1278,0
Young,Female,Own,Married,Close,42400,1,,18,545,0
Old,Male,Own,Single,Close,40200,2,,18,797,0
Young,Female,Rent,Single,Far,17300,0,Low,6,466,0
Middle,Female,Own,Married,Close,109800,1,High,24,789,1
Middle,Female,Own,Single,Far,64400,3,Medium,24,801,1
Young,Female,Rent,Single,Far,27600,1,Medium,24,542,0
Young,Female,Rent,Single,Close,25100,1,,6,1197,0
Middle,Female,Own,Single,Close,46300,3,,6,739,0
Old,Female,Own,Married,Far,74900,0,,12,971,1
Middle,Male,Own,Single,Close,67900,0,High,18,305,1
Middle,Male,Rent,Married,Close,88500,2,Medium,24,1194,0
Middle,Male,Own,Married,Close,99200,3,,12,949,1
Old,Female,Own,Married,Close,62800,0,High,18,506,1
Old,Male,Own,Married,Far,76900,2,High,24,207,1
Middle,Male,Own,Married,Close,84100,3,,6,541,1
Old,Female,Own,Married,Close,77600,0,High,18,662,1
Young,Female,Rent,Single,Close,19100,1,Low,18,1166,0
Old,Female,Own,Married,Far,128700,0,High,24,1164,1
Young,Female,Rent,Single,Far,14400,1,Low,6,695,0
Old,Male,Rent,Married,Close,49600,0,Medium,6,153,0
Middle,Female,Rent,Single,Close,47000,0,,6,796,0
Young,Female,Rent,Married,Close,36600,0,Medium,6,695,0
Middle,Female,Own,Single,Close,65800,1,Medium,12,819,0
Middle,Male,Rent,Married,Far,52800,2,Medium,12,740,0
Middle,Male,Own,Married,Close,96500,0,High,24,494,1
Middle,Female,Rent,Married,Close,63500,1,Medium,18,434,0
Middle,Male,Rent,Single,Close,60400,1,Medium,6,832,0
Middle,Male,Own,Married,Close,102700,3,,12,575,1
Middle,Male,Own,Married,Close,100100,2,,6,108,1
Middle,Male,Rent,Single,Close,54400,0,Medium,6,942,0
Middle,Male,Rent,Married,Close,105600,3,Low,6,337,0
Old,Female,Own,Married,Far,57900,0,High,12,1291,1
Young,Male,Own,Single,Close,31500,3,Low,18,126,0
Middle,Female,Rent,Married,Far,60100,1,High,18,142,1
Middle,Male,Rent,Married,Close,87400,2,,18,1094,1
Middle,Male,Own,Married,Close,117900,0,High,6,264,1
Middle,Male,Own,Single,Close,48800,1,Medium,24,421,1
Middle,Female,Own,Married,Close,67900,3,Low,12,119,0
Old,Male,Rent,Married,Far,66200,0,,6,598,0
Middle,Male,Rent,Married,Close,88000,2,Medium,6,44,0
Middle,Male,Rent,Married,Close,94200,1,High,18,486,0
Young,Female,Rent,Single,Close,29200,3,,6,148,0
Young,Male,Rent,Single,Far,15300,0,Low,24,1247,0
Young,Male,Rent,Single,Far,17500,0,Low,18,1170,0
Old,Male,Own,Married,Close,168800,0,High,6,1286,1
Middle,Male,Rent,Single,Far,40200,0,High,18,168,1
Young,Male,Rent,Single,Close,28400,3,Low,18,70,0
Middle,Male,Rent,Married,Far,72200,3,Medium,18,49,0
Middle,Female,Own,Single,Far,55200,0,High,18,1052,1
Middle,Female,Rent,Single,Close,44600,0,Medium,18,1059,0
Middle,Male,Own,Single,Close,58400,0,Medium,12,1063,0
Middle,Female,Own,Single,Close,67800,1,Medium,6,775,0
Old,Female,Own,Single,Close,25500,0,Low,18,610,0
Young,Female,Rent,Single,Far,20000,3,Low,6,516,0
Middle,Male,Rent,Single,Far,52600,1,,18,298,1
Middle,Male,Rent,Married,Far,97600,1,,12,984,1
Old,Male,Own,Married,Close,23400,0,Low,6,591,0
Middle,Female,Own,Married,Close,102500,3,Low,12,871,0
Middle,Female,Own,Married,Far,52300,1,High,18,711,1
Middle,Male,Rent,Single,Far,65400,0,High,12,1211,1
Young,Male,Rent,Single,Close,19600,0,Low,12,319,0
Old,Male,Own,Married,Far,37000,0,Medium,12,67,0
Young,Female,Rent,Single,Far,13200,0,,18,1251,0
Middle,Male,Rent,Single,Close,63800,1,Medium,24,513,1
Old,Female,Rent,Single,Far,22600,0,,12,1052,0
Old,Female,Own,Single,Close,37300,0,Medium,6,63,0
Young,Male,Rent,Single,Far,14900,1,,12,1108,0
Middle,Female,Own,Single,Close,36700,1,,6,349,0
Middle,Male,Own,Single,Close,63200,0,High,24,623,1
Old,Male,Own,Married,Close,77300,0,High,18,860,1
Middle,Male,Rent,Single,Close,43100,1,,12,957,1
Middle,Female,Rent,Single,Far,44800,1,Medium,6,340,0
Old,Female,Rent,Married,Close,70900,0,High,24,423,1
Middle,Female,Rent,Single,Far,38200,0,Medium,24,126,1
Young,Female,Rent,Single,Far,18400,1,Low,6,110,0
Middle,Female,Rent,Single,Close,40700,3,Low,18,840,0
Old,Male,Own,Single,Close,71300,0,High,18,1024,1
Middle,Female,Rent,Single,Close,36400,2,Low,18,1152,0
Young,Male,Rent,Single,Close,15400,0,Low,6,114,0
Middle,Male,Own,Single,Far,39100,1,Medium,12,614,0
Middle,Male,Rent,Single,Close,43800,0,Medium,12,331,0
Young,Male,Rent,Single,Far,25300,0,Medium,12,228,0
Old,Male,Rent,Married,Close,71800,0,High,12,1173,1
Middle,Male,Own,Single,Close,73200,0,High,24,927,1
Middle,Male,Own,Married,Far,79000,1,High,18,707,1
Middle,Female,Rent,Married,Close,75200,1,,24,218,1
Young,Female,Rent,Single,Close,25300,3,,6,942,0
Old,Female,Own,Married,Close,43600,0,Medium,12,716,0
Middle,Male,Own,Married,Close,83600,2,Medium,6,361,0
Middle,Female,Own,Single,Far,56200,0,High,18,575,1
Young,Male,Rent,Married,Close,45500,0,Medium,6,1255,0
Middle,Male,Own,Married,Close,99300,1,High,12,1277,1
Middle,Male,Own,Married,Far,108000,3,High,24,603,1
Middle,Female,Own,Married,Far,84900,1,High,24,58,1
Middle,Male,Own,Married,Far,93000,3,High,6,523,0
Middle,Female,Own,Married,Close,82000,0,High,18,789,1
Old,Female,Own,Single,Close,33000,3,,6,134,0
Middle,Female,Own,Single,Close,36900,2,Low,24,683,0
Middle,Female,Rent,Single,Close,33200,1,,6,1077,0
Young,Male,Rent,Married,Close,49300,0,,24,588,1
Old,Male,Rent,Married,Far,66200,0,High,24,799,1
Middle,Male,Own,Married,Far,96800,2,High,18,246,1
Old,Male,Own,Single,Close,63200,0,High,24,331,1
Old,Male,Own,Married,Far,112900,0,High,24,975,1
Middle,Female,Rent,Single,Close,32100,2,Low,24,1052,0
Middle,Male,Own,Married,Far,102700,1,High,18,1269,1
Middle,Male,Own,Married,Close,123800,2,,18,898,1
Old,Female,Rent,Single,Far,11700,0,Low,18,962,0
Middle,Male,Own,Married,Close,101700,1,,6,1283,0
Middle,Female,Own,Married,Far,99200,0,High,24,924,1
Young,Male,Rent,Single,Close,17600,0,,6,817,0
Young,Female,Rent,Single,Close,19400,1,,18,190,0
Middle,Male,Rent,Single,Far,40500,1,,18,510,0
Old,Male,Own,Single,Close,44800,0,Medium,24,725,1
Middle,Male,Own,Married,Close,79000,2,Medium,18,1034,0
Young,Male,Rent,Married,Close,53600,1,Medium,24,1203,0
